NUMERO;NPER;SECC;SEGM;NOMBARRIO;Estrato;Sexo;Edad;E45_1;E45_2;E45_3;Fuma?;E190_1;E190_1_1;E190_2;E190_2_1;E190_3;E190_3_1;E191;E192;E197_1;E212_1;E215_1;E60 (Celular);F66 (Trabajo);F73;F74;F85 (Horas);G126_1 (Sueldo);G_ITND_1;G142;G_IT_1 (jubil);G_IT_2 (pensionistas);POBPCOAC (cond act eco);PT1 (TOTAL DE INGRESOS PERSONALES)
2018033995;2;1;105;Centro;4;2;59;2;1;2;3;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;1;2;10;40000
2018027188;1;1;105;Centro;4;2;60;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;2;0;0;0;0;2;0;1;2;10;42540
2018034918;1;1;105;Centro;4;2;60;2;2;2;3;0;0;0;0;0;0;0;5;1;0;0;1;1;6;0;20;0;1;5000;1;2;2;33000
2018021144;2;1;105;Centro;4;2;61;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;2;6;0
2018039518;2;1;105;Centro;4;2;61;2;1;2;4;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;0;0;2;0;1;2;10;15000
2018023172;2;1;105;Centro;4;1;62;2;1;2;4;0;0;0;0;0;0;0;0;1;2;0;1;2;0;0;0;0;2;0;1;2;10;16000
2018053778;1;1;105;Centro;4;1;63;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;2;0;0;0;0;2;0;1;2;10;53000
2018039518;1;1;105;Centro;4;1;64;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;2;1;0;50;0;2;0;2;2;2;205291
2018021144;1;1;105;Centro;4;1;68;2;1;2;3;0;0;0;0;0;0;0;5;1;0;0;1;1;6;0;48;0;1;23000;2;2;2;25021
2018033995;1;1;105;Centro;4;1;69;2;1;2;4;0;0;0;0;0;0;0;5;1;1;1;1;1;2;3;42;60000;2;0;2;2;2;62054
2018053898;1;1;105;Centro;4;2;73;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;2;0;0;0;0;2;0;1;2;10;90500
2018028618;1;1;105;Centro;4;2;74;2;1;2;3;0;0;0;0;0;0;0;5;1;0;0;1;2;0;0;0;0;2;0;1;1;10;39000
2018014890;1;1;105;Centro;4;2;78;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;6;0;15;0;1;3000;2;2;2;8000
2018020010;1;1;105;Centro;4;2;78;2;1;2;3;0;0;0;0;0;0;0;5;1;0;0;1;2;0;0;0;0;2;0;2;1;9;110167
2018045812;1;1;105;Centro;4;2;84;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;2;0;0;0;0;2;0;1;1;10;19000
2018033995;3;1;105;Centro;4;2;86;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;2;0;1;1;10;39800
